Date,BTCUSD,ETHUSD,XRPUSD,LTCUSD
2020-02-06 01-AM,"9584,08","204,2","0,2752","71,76"
2020-02-06 12-AM,"9545,59","202,83","0,2738","71,3"
2020-02-05 11-PM,"9618,42","203,54","0,2777","72,44"
2020-02-05 10-PM,"9625,3","204,53","0,2785","72,65"
2020-02-05 09-PM,"9686,6","206,4","0,278","73,01"
2020-02-05 08-PM,"9672,77","203,53","0,2772","72,51"
2020-02-05 07-PM,"9661,85","202,24","0,2766","71,65"
2020-02-05 06-PM,"9680,03","203,29","0,2785","72,33"
2020-02-05 05-PM,"9561,49","201,03","0,2782","72,49"
2020-02-05 04-PM,9565,"199,9","0,2764","72,8"
2020-02-05 03-PM,"9478,88","198,46","0,2783","72,01"
2020-02-05 02-PM,"9443,5","197,27","0,2769","71,4"
2020-02-05 01-PM,"9426,99","197,49","0,2763","71,21"
2020-02-05 12-PM,"9436,78",196,"0,2727","71,41"
2020-02-05 11-AM,"9409,3","197,24","0,2737","71,79"
2020-02-05 10-AM,"9371,06","194,86","0,273","70,9"
2020-02-05 09-AM,"9244,99","190,89","0,2787","69,67"
2020-02-05 08-AM,"9236,47","191,12","0,2778","69,4"
2020-02-05 07-AM,"9243,92","190,46","0,2777","69,15"
2020-02-05 06-AM,"9243,19","190,35","0,2779","69,08"
2020-02-05 05-AM,"9245,02","190,79","0,2798","68,94"
2020-02-05 04-AM,9206,"189,63","0,2783","68,51"
2020-02-05 03-AM,"9216,49","189,11","0,2734","68,05"
2020-02-05 02-AM,"9185,89","188,53","0,2731","67,89"
2020-02-05 01-AM,"9159,15","188,05","0,2695","67,55"
2020-02-05 12-AM,"9191,09","189,31","0,2727","68,22"
2020-02-04 11-PM,"9159,37","188,15","0,2658","67,84"
2020-02-04 10-PM,"9171,5","188,37","0,2639","67,7"
2020-02-04 09-PM,"9132,44","187,49","0,2648",68
2020-02-04 08-PM,"9170,33","187,56","0,2659","67,19"
2020-02-04 07-PM,"9157,78","187,41","0,265","67,18"
2020-02-04 06-PM,"9161,1","187,97","0,2637","67,39"
2020-02-04 05-PM,"9199,54","188,77","0,2639","67,8"
2020-02-04 04-PM,9205,"188,83","0,2663","67,93"
2020-02-04 03-PM,"9190,5","187,9","0,2667","68,1"
2020-02-04 02-PM,"9129,99","186,54","0,2608","67,95"
2020-02-04 01-PM,"9132,51","185,5","0,2498","67,19"
2020-02-04 12-PM,"9112,57","185,08","0,2501",67
2020-02-04 11-AM,"9165,33","186,9","0,2514","67,48"
2020-02-04 10-AM,"9164,53","185,2","0,2492","67,05"
2020-02-04 09-AM,"9145,62","184,94","0,2476","66,74"
2020-02-04 08-AM,9217,"186,61","0,2495","67,76"
2020-02-04 07-AM,"9254,59","188,11","0,2511","68,78"
2020-02-04 06-AM,"9251,21","187,84","0,2512","68,56"
2020-02-04 05-AM,"9258,32","187,7","0,2515","68,51"
2020-02-04 04-AM,"9252,18","186,77","0,2501","68,47"
2020-02-04 03-AM,"9266,35","187,75","0,2515","68,92"
2020-02-04 02-AM,"9278,9","189,61","0,2542","69,76"
2020-02-04 01-AM,"9265,29","188,69","0,2526","69,5"
2020-02-04 12-AM,"9322,04","190,83","0,2559","69,96"
2020-02-03 11-PM,"9288,09","189,66","0,2543","69,58"
2020-02-03 10-PM,"9271,83","189,01","0,2513","69,51"
2020-02-03 09-PM,"9271,03","189,54","0,2511","69,58"
2020-02-03 08-PM,"9301,25","190,37","0,2526","69,83"
2020-02-03 07-PM,"9309,69","190,14","0,25","69,44"
2020-02-03 06-PM,"9303,3","189,39","0,2499","69,25"
2020-02-03 05-PM,"9284,64","188,55","0,2487","69,33"
2020-02-03 04-PM,"9246,97","187,18","0,2474","68,71"
2020-02-03 03-PM,"9257,18","187,03","0,2468","68,66"
2020-02-03 02-PM,"9337,25","189,37","0,2515","69,87"
2020-02-03 01-PM,"9300,15","188,53","0,2493","69,59"
2020-02-03 12-PM,"9333,71","189,53","0,2505","70,08"
2020-02-03 11-AM,"9325,57","189,53","0,251","69,98"
2020-02-03 10-AM,"9299,28","187,92","0,2487","69,63"
2020-02-03 09-AM,"9315,01","188,43","0,2504","70,04"
2020-02-03 08-AM,"9345,11","189,63","0,2526","70,7"
2020-02-03 07-AM,"9346,74","189,81","0,2517","70,68"
2020-02-03 06-AM,"9385,96","191,05","0,253","70,91"
2020-02-03 05-AM,"9381,17","191,11","0,2537","70,7"
2020-02-03 04-AM,9375,"190,44","0,2518","71,21"
2020-02-03 03-AM,9370,"190,95","0,2516","70,91"
2020-02-03 02-AM,"9369,88",190,"0,251","71,1"
2020-02-03 01-AM,"9498,87","192,12","0,2545","71,63"
2020-02-03 12-AM,"9392,22","191,42","0,2546","71,48"
2020-02-02 11-PM,"9329,39","188,16","0,251","69,67"
2020-02-02 10-PM,"9378,01","189,01","0,2517","70,71"
2020-02-02 09-PM,"9437,62","191,54","0,2561","71,91"
2020-02-02 08-PM,"9444,02","192,26","0,2559","71,51"
2020-02-02 07-PM,"9426,67","191,79","0,2547","71,42"
2020-02-02 06-PM,"9437,47","191,62","0,2533","71,73"
2020-02-02 05-PM,"9439,44","191,12","0,2541","71,64"
2020-02-02 04-PM,"9434,15","191,08","0,2544","71,56"
2020-02-02 03-PM,"9448,26","192,81","0,2564","72,07"
2020-02-02 02-PM,"9437,34","191,49","0,2576","72,42"
2020-02-02 01-PM,"9424,45","190,79","0,2555","71,93"
2020-02-02 12-PM,"9418,23","190,96","0,2555","72,25"
2020-02-02 11-AM,"9418,46","191,4","0,2543","71,62"
2020-02-02 10-AM,"9417,73","190,8","0,2504","71,49"
2020-02-02 09-AM,"9361,6","188,18","0,2474","70,55"
2020-02-02 08-AM,"9349,77","186,99","0,2411","70,52"
2020-02-02 07-AM,"9359,62","187,17","0,2414","70,58"
2020-02-02 06-AM,"9355,06","185,94","0,2417","70,5"
2020-02-02 05-AM,"9294,72","181,51","0,2402","69,35"
2020-02-02 04-AM,"9319,21","181,76","0,2385","69,19"
2020-02-02 03-AM,"9248,9","180,08","0,2369","68,57"
2020-02-02 02-AM,"9250,12","180,36","0,237","68,45"
2020-02-02 01-AM,"9313,09","181,49","0,2384","69,71"
2020-02-02 12-AM,"9305,03","181,08","0,2383","69,3"
2020-02-01 11-PM,"9377,17","183,51","0,2409","70,71"
2020-02-01 10-PM,"9367,9","182,67","0,2411","70,44"
2020-02-01 09-PM,"9354,46","182,22","0,2412","70,78"
2020-02-01 08-PM,"9370,8","183,31","0,2404","71,05"
